% Using data from: data/PS3.json
@relation "mc_scores"

@attribute "mc_title" string
@attribute "platform" string
@attribute "1UP" real
@attribute "3DJuegos" real
@attribute "4Players.de" real
@attribute "9Lives" real
@attribute "Absolute_Games" real
@attribute "AceGamez" real
@attribute "ActionTrip" real
@attribute "Adventure_Gamers" real
@attribute "Armchair_Empire" real
@attribute "AtomicGamer" real
@attribute "AusGamers" real
@attribute "BigPond_GameArena" real
@attribute "Boomtown" real
@attribute "CD-Action" real
@attribute "Canadian_Online_Gamers" real
@attribute "Cheat_Code_Central" real
@attribute "Computer_Games_Online_RO" real
@attribute "Computer_and_Video_Games" real
@attribute "Console_Gameworld" real
@attribute "Console_Monster" real
@attribute "Cynamite" real
@attribute "D+PAD_Magazine" real
@attribute "Da_Gameboyz" real
@attribute "DailyGame" real
@attribute "DarkStation" real
@attribute "DarkZero" real
@attribute "Deeko" real
@attribute "Destructoid" real
@attribute "Detroit_Free_Press" real
@attribute "Digital_Chumps" real
@attribute "Digital_Entertainment_News" real
@attribute "Digital_Spy" real
@attribute "EGM" real
@attribute "Edge_Magazine" real
@attribute "Electronic_Gaming_Monthly" real
@attribute "Eurogamer" real
@attribute "Eurogamer_Germany" real
@attribute "Eurogamer_Italy" real
@attribute "Eurogamer_Portugal" real
@attribute "Eurogamer_Spain" real
@attribute "Eurogamer_Sweden" real
@attribute "Everyeye.it" real
@attribute "Extreme_Gamer" real
@attribute "G4_TV" real
@attribute "GRYOnline.pl" real
@attribute "Game_Almighty" real
@attribute "Game_Chronicles" real
@attribute "Game_Informer" real
@attribute "Game_Over_Online" real
@attribute "Game_Positive" real
@attribute "Game_Revolution" real
@attribute "GameBrink" real
@attribute "GameCritics" real
@attribute "GameDaily" real
@attribute "GameFocus" real
@attribute "GameFront" real
@attribute "GameOver.gr" real
@attribute "GamePro" real
@attribute "GameShark" real
@attribute "GameSpot" real
@attribute "GameSpy" real
@attribute "GameTap" real
@attribute "GameTrailers" real
@attribute "GameZone" real
@attribute "Gameblog.fr" real
@attribute "Gamekult" real
@attribute "Gameplanet" real
@attribute "Gameplayer" real
@attribute "Gameplayer_Sweden" real
@attribute "Gamer_2.0" real
@attribute "Gamer_Limit" real
@attribute "Gamer's_Hell" real
@attribute "Gamer.nl" real
@attribute "Gamer.no" real
@attribute "GamerNode" real
@attribute "Gamereactor_Denmark" real
@attribute "Gamereactor_Sweden" real
@attribute "Gamers'_Temple" real
@attribute "Gamers.at" real
@attribute "Gamervision" real
@attribute "Games_Master_UK" real
@attribute "Games.cz" real
@attribute "GamesBeat" real
@attribute "GamesNation" real
@attribute "GamesRadar" real
@attribute "Gamestyle" real
@attribute "Gaming_Age" real
@attribute "Gaming_Horizon" real
@attribute "Gaming_Illustrated" real
@attribute "Gaming_Nexus" real
@attribute "Gaming_Target" real
@attribute "GamingExcellence" real
@attribute "GamingTrend" real
@attribute "GamingXP" real
@attribute "Giant_Bomb" real
@attribute "GotNext" real
@attribute "Guardian" real
@attribute "Hardcore_Gamer_Magazine" real
@attribute "HellBored" real
@attribute "Hyper_Magazine" real
@attribute "IC-Games" real
@attribute "IGN" real
@attribute "IGN_AU" real
@attribute "IGN_Italia" real
@attribute "IGN_UK" real
@attribute "Impulsegamer" real
@attribute "IncGamers" real
@attribute "InsideGamer.nl" real
@attribute "JeuxActu" real
@attribute "Jolt_Online_Gaming_UK" real
@attribute "Joystiq" real
@attribute "Just_RPG" real
@attribute "Kikizo" real
@attribute "Kombo" real
@attribute "LEVEL_(Czech_Republic)" real
@attribute "LaPS3" real
@attribute "Lazygamer" real
@attribute "Level7.nu" real
@attribute "LevelUp" real
@attribute "MEGamers" real
@attribute "Machinima" real
@attribute "Maxi_Consolas_(Portugal)" real
@attribute "Meristation" real
@attribute "Metro_GameCentral" real
@attribute "Multiplayer.it" real
@attribute "My_Gamer" real
@attribute "NTSC-uk" real
@attribute "NZGamer" real
@attribute "Next_Level_Gaming" real
@attribute "NowGamer" real
@attribute "Official_PlayStation_Magazine_Benelux" real
@attribute "Official_Playstation_2_Magazine_UK" real
@attribute "Official_U.S._Playstation_Magazine" real
@attribute "Operation_Sports" real
@attribute "PALGN" real
@attribute "PGNx_Media" real
@attribute "PS3bloggen.se" real
@attribute "PSFocus" real
@attribute "PSM_Magazine" real
@attribute "PSM3_Magazine_UK" real
@attribute "PSW_Magazine_UK" real
@attribute "PSX_Extreme" real
@attribute "PSX-Sense.nl" real
@attribute "PTGamers" real
@attribute "Pelit_(Finland)" real
@attribute "Play_Magazine" real
@attribute "Play_UK" real
@attribute "Play.tm" real
@attribute "PlayStation_LifeStyle" real
@attribute "Playstation_Official_Magazine_Australia" real
@attribute "Playstation_Official_Magazine_UK" real
@attribute "Playstation_Universe" real
@attribute "Playstation:_The_Official_Magazine_(US)" real
@attribute "Polygon" real
@attribute "Post_Arcade_(National_Post)" real
@attribute "Pure_Magazine_UK" real
@attribute "Push_Square" real
@attribute "Quarter_to_Three" real
@attribute "RPG_Fan" real
@attribute "RPGamer" real
@attribute "RealGamer" real
@attribute "Riot_Pixels" real
@attribute "SpazioGames" real
@attribute "Strategy_Informer" real
@attribute "Sydney_Morning_Herald" real
@attribute "Telegraph" real
@attribute "The_A.V._Club" real
@attribute "The_Digital_Fix" real
@attribute "The_Escapist" real
@attribute "The_Globe_and_Mail_(Toronto)" real
@attribute "The_New_York_Times" real
@attribute "TheSixthAxis" real
@attribute "Thunderbolt" real
@attribute "Toronto_Sun" real
@attribute "Total_Video_Games" real
@attribute "TotalPlayStation" real
@attribute "UGO" real
@attribute "VGPub" real
@attribute "Vandal_Online" real
@attribute "Variety" real
@attribute "Video_Game_Talk" real
@attribute "VideoGamer" real
@attribute "Videogameszone.de" real
@attribute "WHAM!_Gaming" real
@attribute "Wired" real
@attribute "WonderwallWeb" real
@attribute "Worth_Playing" real
@attribute "XGN" real
@attribute "Xbox_World_360_Magazine_UK" real
@attribute "Yahoo!_Games" real
@attribute "ZTGD" real
@attribute "eToychest" real
@attribute "games(TM)" real
@attribute "netjak" real
@attribute "mc_score" real

@data
"Plants vs. Zombies","PS3",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,92,?,?,?,?,?,?,?,?,83,?,?,?,?,?,?,83,?,?,?,?,?,?,?,90,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,85,?,?,?,?,?,?,?,?,?,90,70,?,90,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,85
"Cloudy With a Chance of Meatballs","PS3",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,68,?,?,?,?,?,?,?,80,?,?,?,?,?,66,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,?,?,?,?,?,50,?,?,?,?,?,?,?,66,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,63,?,?,?,73,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,66
"Saints Row: The Third","PS3",83,88,?,?,?,?,?,?,90,?,?,?,?,?,?,78,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,?,?,?,70,70,?,?,75,90,?,?,?,85,90,85,?,?,?,?,?,?,?,80,80,?,85,?,?,?,?,80,70,?,?,?,?,?,?,80,?,80,?,80,94,?,?,79,?,?,?,?,?,?,?,?,?,?,?,?,86,80,?,80,?,?,?,?,85,?,?,?,95,90,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,78,?,?,?,?,?,90,?,?,?,85,?,?,83,?,?,?,88,?,?,89,?,88,?,90,90,70,90,100,?,?,?,?,?,?,?,?,?,85,80,?,?,?,?,?,?,?,80,70,?,?,85,?,?,88,?,?,80,?,?,?,?,90,85,?,?,?,?,?,?,82
"Red Faction: Armageddon","PS3",91,79,?,?,?,?,?,?,85,?,?,?,?,?,?,76,?,?,?,75,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,80,?,?,76,70,?,?,?,75,73,85,?,83,?,?,?,85,?,70,70,?,80,50,?,?,?,60,?,?,?,?,?,?,?,60,60,60,60,70,81,?,?,?,?,?,?,70,?,?,?,?,?,?,95,?,80,60,?,?,?,?,?,?,70,?,?,?,82,?,?,?,?,?,?,?,?,?,?,?,70,?,83,?,?,?,40,?,?,?,?,?,?,?,?,?,?,65,?,?,75,?,55,?,78,?,?,82,?,62,?,70,70,60,75,70,?,?,?,?,?,?,?,?,?,70,80,?,?,?,?,?,?,?,70,?,?,?,?,?,?,80,?,?,60,82,?,?,?,80,?,?,?,83,?,?,?,71
"LEGO Rock Band","PS3",83,?,?,?,?,?,?,?,?,?,?,?,?,?,?,76,?,?,?,?,?,?,?,?,?,?,?,65,?,76,?,?,?,?,?,70,?,?,?,60,?,?,?,?,?,?,?,80,?,?,?,?,?,80,74,?,?,70,83,75,60,?,?,75,?,?,?,?,?,?,90,?,70,?,?,?,?,?,?,70,80,?,?,?,80,?,75,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,?,82,?,?,?,?,?,?,70,?,60,78,?,83,?,79,?,?,?,?,75,?,?,80,90,?,80,?,?,?,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,74,?,?,?,?,?,?,?,?,70,?,?,75,?,?,?,75
"Trivial Pursuit","PS3",?,70,?,?,?,?,?,?,?,?,?,?,?,?,?,76,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,80,83,?,?,?,?,60,?,?,?,?,?,?,75,?,?,?,?,?,?,?,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,?,?,?,?,79,?,?,?,?,?,?,?,78,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,50,?,?,50,?,?,?,?,?,?,?,?,?,40,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,66
"Resonance of Fate","PS3",58,81,?,?,?,?,?,?,?,?,?,?,?,?,?,78,?,?,?,70,85,?,?,?,?,?,?,80,?,?,?,?,?,60,?,80,?,80,?,?,?,?,?,?,?,?,?,68,?,?,25,?,35,?,?,?,?,?,?,85,?,?,?,?,?,?,?,?,?,?,70,?,70,?,?,?,60,?,?,?,80,?,?,?,?,?,?,?,?,?,?,81,?,?,?,?,?,?,?,?,?,70,?,?,?,?,?,75,?,?,?,?,?,?,70,?,?,?,?,82,?,?,?,?,?,?,?,?,?,?,?,?,?,?,65,?,?,71,?,80,?,82,?,?,?,?,?,85,60,60,80,?,70,?,?,?,?,?,?,70,80,?,80,72,?,?,?,?,?,?,?,90,?,?,?,85,?,?,83,?,?,70,?,?,?,?,80,75,?,?,?,?,70,?,72
"Pro Evolution Soccer 2010","PS3",67,80,?,79,?,70,?,?,?,?,?,?,?,?,?,80,?,?,?,74,90,?,?,?,?,?,?,?,?,?,?,?,?,70,?,?,?,80,80,?,?,80,?,?,?,?,?,85,?,?,?,?,?,?,?,?,?,?,?,65,?,?,82,?,?,?,?,?,?,?,?,?,80,?,?,?,?,?,?,?,81,?,?,79,?,70,?,?,?,?,?,?,?,87,?,?,?,?,?,?,?,77,83,?,87,?,?,80,?,?,?,?,?,?,?,?,?,?,?,?,?,?,75,?,87,?,?,?,?,?,?,?,?,?,?,?,80,83,?,89,?,?,?,?,?,?,72,93,?,80,80,?,90,?,?,?,?,?,?,?,70,?,82,?,?,?,?,?,?,?,?,80,?,?,70,?,?,?,84,?,?,70,?,?,?,80,?,70,?,?,?,?,60,?,78
"Vandal Hearts: Flames of Judgment","PS3",50,63,?,?,?,?,?,?,?,?,?,?,?,?,?,68,?,?,?,?,?,?,?,?,?,?,?,?,?,68,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,75,80,?,?,?,?,?,?,?,?,?,67,65,?,?,?,?,?,?,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,?,?,?,?,?,67,?,?,?,?,?,?,?,?,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,87,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70,?,?,60,?,?,?,?,?,70,?,?,75,?,?,?,70
"Fallout: New Vegas","PS3",75,84,?,?,?,?,?,?,?,90,?,?,?,?,?,80,?,?,?,91,85,80,?,?,?,?,?,?,?,76,?,?,?,60,?,?,?,80,80,90,?,85,83,?,?,?,95,85,85,?,91,?,?,?,79,?,?,?,?,75,?,?,?,65,80,70,?,?,?,90,?,?,80,?,?,?,80,?,82,?,?,?,?,?,?,?,75,?,?,?,?,85,?,?,?,?,?,?,?,?,?,?,?,?,90,95,91,?,?,?,?,?,90,?,?,?,?,?,?,86,?,?,?,80,?,?,?,?,?,?,?,?,?,?,?,?,?,82,?,81,?,77,?,?,?,?,88,?,70,80,80,80,80,?,?,?,?,?,?,?,95,?,88,85,?,?,91,?,?,?,?,70,80,?,?,75,?,?,93,?,?,90,81,?,?,?,?,85,?,?,70,?,90,?,82
"Blur","PS3",83,80,?,?,?,?,?,?,?,?,?,?,?,?,?,92,?,?,?,?,?,80,79,?,?,90,?,?,?,92,?,?,?,?,?,?,?,90,80,?,?,80,88,?,?,?,76,85,84,?,67,?,?,80,88,?,?,?,?,80,?,?,87,75,60,?,80,?,?,?,85,?,80,?,?,80,70,92,86,73,?,?,?,?,?,70,91,?,?,75,68,85,83,?,80,?,?,?,?,?,?,70,?,?,?,?,?,80,?,?,?,?,?,90,?,?,?,?,?,86,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,85,?,82,?,80,?,?,?,?,86,?,80,70,80,?,90,?,?,?,?,?,?,?,80,?,86,80,?,?,?,?,?,?,?,?,?,?,90,85,?,?,82,?,?,90,87,?,?,?,?,80,?,?,75,?,?,?,81
"F1 2010","PS3",?,89,?,?,?,63,?,?,?,?,?,90,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,90,80,90,?,?,?,?,?,?,?,85,?,?,?,?,?,?,84,?,?,?,?,75,?,?,86,70,100,80,90,?,?,?,80,?,80,?,?,80,80,?,?,?,?,?,?,?,90,80,?,?,?,?,?,?,?,82,?,?,?,?,?,?,?,?,?,?,85,?,?,?,?,?,?,?,?,?,?,?,?,?,?,82,?,?,85,?,87,?,?,86,?,?,?,?,?,?,85,?,?,90,?,84,?,?,?,?,?,?,86,?,80,90,90,?,80,?,?,?,?,?,?,?,90,?,90,80,?,?,?,?,?,?,?,90,?,?,90,70,?,?,86,?,80,90,88,?,?,?,80,85,?,?,?,?,?,?,84
"Front Mission Evolved","PS3",42,63,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70,?,?,60,?,?,50,?,?,?,?,?,?,?,?,?,50,?,50,?,?,?,?,?,?,?,78,?,?,75,?,?,?,71,?,?,?,?,55,?,?,?,?,?,40,?,?,?,?,65,?,30,?,?,?,50,?,?,?,?,?,?,?,70,60,33,?,?,33,?,45,?,76,?,?,?,65,?,?,?,60,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,45,?,?,65,40,?,?,?,70,?,?,?,?,?,?,50,?,?,66,?,60,?,66,?,?,?,?,52,?,60,70,40,?,60,?,?,?,?,?,?,?,?,?,62,60,?,?,?,?,?,?,?,?,?,?,?,?,?,?,67,?,?,60,?,?,?,?,60,65,?,?,?,?,?,?,58
"Tom Clancy's Ghost Recon: Future Soldier","PS3",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,75,?,?,90,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,80,?,?,?,?,?,?,?,?,?,?,?,?,?,58,?,?,?,?,?,?,?,?,?,80,?,?,?,?,85,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,86,?,?,?,?,?,?,?,?,85,?,?,80,?,?,?,60,?,85,80,80,80,90,?,?,?,80,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,50,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,79
"Planet 51","PS3",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,?,40,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,50,?,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,55,?,50,?,?,?,?,53,?,?,?,?,?,?,?,50,?,?,40,?,?,?,?,?,?,?,?,?,47,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,72,?,?,?,?,?,?,?,?,50
"Band Hero","PS3",91,84,?,?,?,?,?,?,?,?,?,?,?,?,?,78,?,?,?,?,80,?,?,?,?,?,?,?,?,76,?,?,?,?,?,60,?,70,70,?,?,?,90,?,?,?,100,78,?,?,?,?,?,70,?,?,?,?,75,80,90,?,?,83,?,?,?,?,?,?,?,?,80,?,?,?,?,87,?,80,84,?,?,?,?,?,58,?,?,?,?,70,83,?,60,?,?,?,?,?,?,79,?,?,?,91,?,75,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,75,?,70,73,?,81,?,84,?,?,?,?,68,?,?,70,60,?,80,?,?,?,?,?,?,?,80,?,70,?,?,60,?,?,?,?,?,80,?,?,?,?,?,?,80,?,?,70,?,?,?,?,75,75,?,?,80,?,?,?,76
"Last Rebellion","PS3",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,58,?,?,?,?,?,?,?,?,?,40,?,50,?,74,?,?,?,?,?,30,?,?,?,?,?,?,52,?,?,?,?,45,?,?,16,?,?,?,?,?,?,?,?,35,?,?,?,60,?,30,?,?,?,?,?,?,?,?,?,?,?,?,?,?,57,?,?,?,?,?,?,?,?,83,?,?,45,?,?,?,?,?,?,?,?,30,?,?,?,?,?,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,50,30,?,?,?,?,?,?,?,?,?,?,?,?,?,62,?,61,?,37,?,?,?,?,42,?,30,?,30,?,60,?,?,?,?,?,74,30,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,30,?,?,?,?,?,?,?,?,?,?,40,?,?,?,68,?,?,?,44
"Star Wars The Clone Wars: Republic Heroes","PS3",25,50,?,59,?,?,?,?,?,?,?,?,?,?,?,46,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,30,?,30,?,?,?,?,?,?,?,?,?,55,?,?,42,?,?,40,?,?,?,?,?,35,?,?,?,?,?,?,?,?,?,?,?,?,30,?,?,?,?,?,?,?,?,?,?,59,?,?,?,?,?,?,?,?,?,63,?,?,?,?,?,?,?,48,?,?,?,?,?,40,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,40,46,?,25,?,?,?,?,?,?,?,?,?,?,50,?,40,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,55,?,?,40,?,?,?,?,?,?,?,?,?,?,?,?,43
"Hitman: Absolution","PS3",?,?,?,?,?,?,?,?,?,?,?,30,?,?,?,86,?,?,?,?,?,70,?,?,?,?,?,?,?,80,?,?,80,?,?,?,?,?,80,70,?,?,?,?,?,?,?,88,?,?,?,?,?,?,?,?,70,?,?,?,?,?,?,?,80,?,70,?,?,?,?,?,80,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,90,?,?,?,?,?,?,?,?,90,?,?,?,?,?,?,85,?,?,?,?,?,?,?,?,?,?,?,?,?,?,80,88,?,?,96,?,?,84,?,?,?,?,?,?,?,?,90,?,84,85,?,?,?,93,?,80,90,90,80,80,?,?,?,80,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,85,?,?,?,?,?,?,?,83
"Call of Duty: Black Ops II","PS3",?,?,?,?,?,?,?,?,90,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70,70,?,?,?,?,?,?,?,?,?,?,?,?,80,90,?,?,?,?,?,?,?,85,?,?,?,?,?,?,?,?,?,?,?,80,?,?,?,?,?,?,80,?,?,?,?,?,?,?,?,?,?,90,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,82,?,?,?,?,?,?,?,?,?,?,?,80,?,?,?,?,?,?,?,?,?,?,?,?,89,?,?,?,?,?,?,?,?,78,?,87,?,?,?,?,80,?,85,90,80,80,?,?,?,?,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,90,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,83
"MX vs. ATV Reflex","PS3",75,73,?,65,?,?,?,?,?,?,?,?,?,?,?,78,?,?,?,?,?,?,90,?,?,?,?,?,?,?,?,?,?,?,?,?,?,80,80,?,?,?,80,?,?,?,?,75,76,?,58,?,?,?,92,?,?,?,75,65,?,?,68,80,?,?,?,?,40,?,?,75,70,?,?,?,50,78,?,85,?,?,?,?,90,?,?,?,?,75,?,84,92,?,?,?,?,?,?,?,?,78,?,?,?,?,?,78,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,78,?,?,80,?,?,?,?,?,?,?,?,70,77,?,74,?,69,?,?,?,95,68,?,?,70,70,?,70,?,?,?,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,?,?,?,?,70,?,?,?,?,?,60,?,?,?,?,?,73,?,?,80,?,?,?,74
"NHL 10","PS3",91,?,?,?,?,?,?,?,90,?,?,?,?,?,?,92,?,?,?,?,?,?,?,?,?,90,?,95,?,?,?,?,?,?,?,?,?,?,?,?,?,?,85,?,?,?,?,93,?,?,?,?,?,?,92,?,?,100,83,85,?,?,93,90,?,?,?,?,?,?,?,?,?,?,85,?,?,?,?,100,?,?,?,83,?,?,?,?,?,?,86,?,?,87,?,?,?,?,?,?,?,87,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,87,?,?,?,?,90,?,?,85,?,?,?,?,?,?,?,93,80,89,?,79,?,85,?,?,?,?,85,?,?,?,80,?,90,?,?,?,?,?,?,?,?,?,85,80,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,90,88,?,?,90,?,?,?,88
"Aliens vs. Predator","PS3",25,78,?,?,?,65,?,?,?,?,?,?,?,?,?,60,?,?,?,?,60,?,?,?,?,50,?,?,?,70,?,?,?,50,?,?,?,70,60,70,?,?,?,?,?,?,?,58,70,?,33,?,?,70,?,?,?,60,?,55,?,?,?,60,?,?,?,?,?,?,?,?,60,?,?,?,60,?,81,78,64,?,?,?,?,70,58,?,?,?,?,67,?,84,?,?,?,?,65,?,?,70,?,?,85,85,?,63,?,?,?,?,?,?,?,?,?,60,?,69,?,?,75,50,?,?,?,?,?,?,?,?,?,?,?,?,60,80,?,57,?,72,?,?,?,?,79,?,60,90,60,?,80,?,?,?,?,?,?,?,?,?,73,75,?,60,?,?,?,?,?,60,80,?,60,70,?,?,81,?,?,70,?,?,?,?,?,70,?,?,70,?,50,?,65
"The Lord of the Rings: Aragorn's Quest","PS3",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,54,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,60,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,65,?,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,?,?,?,?,60,?,?,?,?,?,?,?,50,?,60,?,?,?,?,?,?,?,?,?,?,?,?,57,?,?,?,?,?,?,?,?,60,?,?,?,50,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,68,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,58
"Fatal Inertia EX","PS3",42,?,?,?,?,?,?,?,?,?,?,?,?,?,?,74,?,?,?,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,?,60,?,?,?,?,?,?,?,60,?,?,84,?,?,?,?,?,?,?,87,?,?,90,?,65,?,?,?,68,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,?,?,?,?,?,?,72,?,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,64,?,80,?,?,?,?,65,70,?,?,30,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,75,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,30,?,63
"Trinity Universe","PS3",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,?,?,?,?,?,76,?,?,?,60,?,60,?,?,?,50,?,65,67,?,?,?,?,?,?,?,?,?,75,?,?,?,?,60,75,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,50,?,?,?,78,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,65,?,?,?,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,42,?,71,?,?,?,?,61,?,70,?,?,?,?,?,?,?,?,?,63,?,?,?,?,75,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,80,?,?,?,80,?,40,?,62
