% Using data from: data/X360.json
@relation "mc_scores"

@attribute "mc_title" string
@attribute "platform" string
@attribute "1UP" real
@attribute "360_Gamer_Magazine_UK" real
@attribute "3DAvenue" real
@attribute "3DJuegos" real
@attribute "4Players.de" real
@attribute "9Lives" real
@attribute "Absolute_Games" real
@attribute "AceGamez" real
@attribute "ActionTrip" real
@attribute "Adrenaline_Vault" real
@attribute "Adventure_Gamers" real
@attribute "Armchair_Empire" real
@attribute "AtomicGamer" real
@attribute "AusGamers" real
@attribute "BigPond_GameArena" real
@attribute "Bit-Gamer" real
@attribute "BonusStage" real
@attribute "Boomtown" real
@attribute "CD-Action" real
@attribute "Canadian_Online_Gamers" real
@attribute "Cheat_Code_Central" real
@attribute "Cincinnati_Enquirer" real
@attribute "Computer_Games_Magazine" real
@attribute "Computer_Games_Online_RO" real
@attribute "Computer_and_Video_Games" real
@attribute "Console_Gameworld" real
@attribute "Console_Monster" real
@attribute "Cynamite" real
@attribute "D+PAD_Magazine" real
@attribute "Da_Gameboyz" real
@attribute "DailyGame" real
@attribute "DarkStation" real
@attribute "DarkZero" real
@attribute "Deeko" real
@attribute "Destructoid" real
@attribute "Detroit_Free_Press" real
@attribute "Digital_Chumps" real
@attribute "Digital_Entertainment_News" real
@attribute "Digital_Spy" real
@attribute "EGM" real
@attribute "Edge_Magazine" real
@attribute "Electric_Playground" real
@attribute "Electronic_Gaming_Monthly" real
@attribute "Entertainment_Weekly" real
@attribute "Eurogamer" real
@attribute "Eurogamer_Germany" real
@attribute "Eurogamer_Italy" real
@attribute "Eurogamer_Portugal" real
@attribute "Eurogamer_Spain" real
@attribute "Eurogamer_Sweden" real
@attribute "Everyeye.it" real
@attribute "Extreme_Gamer" real
@attribute "Firing_Squad" real
@attribute "Four_Fat_Chicks" real
@attribute "G4_TV" real
@attribute "GRYOnline.pl" real
@attribute "Game_Almighty" real
@attribute "Game_Chronicles" real
@attribute "Game_Informer" real
@attribute "Game_Over_Online" real
@attribute "Game_Positive" real
@attribute "Game_Power_Australia" real
@attribute "Game_Revolution" real
@attribute "GameBiz" real
@attribute "GameBrink" real
@attribute "GameCritics" real
@attribute "GameDaily" real
@attribute "GameFocus" real
@attribute "GameFront" real
@attribute "GameOver.gr" real
@attribute "GamePro" real
@attribute "GameShark" real
@attribute "GameSpot" real
@attribute "GameSpy" real
@attribute "GameTap" real
@attribute "GameTrailers" real
@attribute "GameZone" real
@attribute "Gameblog.fr" real
@attribute "Gamekult" real
@attribute "Gamenikki" real
@attribute "Gameplanet" real
@attribute "Gameplayer" real
@attribute "Gameplayer_Sweden" real
@attribute "Gamer_2.0" real
@attribute "Gamer_Limit" real
@attribute "Gamer's_Hell" real
@attribute "Gamer.nl" real
@attribute "Gamer.no" real
@attribute "GamerFeed" real
@attribute "GamerNode" real
@attribute "Gamereactor_Denmark" real
@attribute "Gamereactor_Sweden" real
@attribute "Gamers_Europe" real
@attribute "Gamers'_Temple" real
@attribute "Gamers.at" real
@attribute "Gamervision" real
@attribute "Games_Master_UK" real
@attribute "Games_Radar" real
@attribute "Games.cz" real
@attribute "GamesBeat" real
@attribute "GamesNation" real
@attribute "GamesRadar" real
@attribute "Gamestyle" real
@attribute "Gamezilla!" real
@attribute "Gaming_Age" real
@attribute "Gaming_Horizon" real
@attribute "Gaming_Illustrated" real
@attribute "Gaming_Nexus" real
@attribute "Gaming_Target" real
@attribute "GamingExcellence" real
@attribute "GamingTrend" real
@attribute "GamingXP" real
@attribute "Giant_Bomb" real
@attribute "GotNext" real
@attribute "Guardian" real
@attribute "Hardcore_Gamer_Magazine" real
@attribute "HellBored" real
@attribute "Hyper_Magazine" real
@attribute "IC-Games" real
@attribute "IGN" real
@attribute "IGN_AU" real
@attribute "IGN_Italia" real
@attribute "IGN_UK" real
@attribute "Impulsegamer" real
@attribute "IncGamers" real
@attribute "InsideGamer.nl" real
@attribute "Into_Liquid_Sky" real
@attribute "JeuxActu" real
@attribute "Jolt_Online_Gaming_UK" real
@attribute "Joystiq" real
@attribute "Just_Adventure" real
@attribute "Just_RPG" real
@attribute "Kikizo" real
@attribute "Kombo" real
@attribute "LEVEL_(Czech_Republic)" real
@attribute "Lazygamer" real
@attribute "Level7.nu" real
@attribute "LevelUp" real
@attribute "MEGamers" real
@attribute "MS_Xbox_World" real
@attribute "Machinima" real
@attribute "Maxi_Consolas_(Portugal)" real
@attribute "Maxim_Online" real
@attribute "Meristation" real
@attribute "Metro_GameCentral" real
@attribute "MondoXbox" real
@attribute "Multiplayer.it" real
@attribute "My_Gamer" real
@attribute "NTSC-uk" real
@attribute "NZGamer" real
@attribute "Next_Level_Gaming" real
@attribute "NowGamer" real
@attribute "Official_Xbox_Magazine" real
@attribute "Official_Xbox_Magazine_UK" real
@attribute "Operation_Sports" real
@attribute "PALGN" real
@attribute "PGNx_Media" real
@attribute "PTGamers" real
@attribute "Pelit_(Finland)" real
@attribute "Planet_Xbox_360" real
@attribute "Play_Magazine" real
@attribute "Play.tm" real
@attribute "Polygon" real
@attribute "Post_Arcade_(National_Post)" real
@attribute "Quarter_to_Three" real
@attribute "RPG_Fan" real
@attribute "RPGamer" real
@attribute "RealGamer" real
@attribute "RewiredMind" real
@attribute "SpazioGames" real
@attribute "Strategy_Informer" real
@attribute "Stuff" real
@attribute "Sydney_Morning_Herald" real
@attribute "Talk_Xbox" real
@attribute "TeamXbox" real
@attribute "Telegraph" real
@attribute "Ten_Ton_Hammer" real
@attribute "The_A.V._Club" real
@attribute "The_Digital_Fix" real
@attribute "The_Escapist" real
@attribute "The_Globe_and_Mail_(Toronto)" real
@attribute "The_New_York_Times" real
@attribute "Thunderbolt" real
@attribute "Times_Online" real
@attribute "Toronto_Sun" real
@attribute "Total_Video_Games" real
@attribute "Totally360" real
@attribute "UGO" real
@attribute "VGPub" real
@attribute "Vandal_Online" real
@attribute "Variety" real
@attribute "Video_Game_Talk" real
@attribute "VideoGamer" real
@attribute "Videogameszone.de" real
@attribute "WHAM!_Gaming" real
@attribute "Wired" real
@attribute "WonderwallWeb" real
@attribute "Worth_Playing" real
@attribute "X360_Magazine_UK" real
@attribute "XGN" real
@attribute "XGP_Gaming" real
@attribute "Xbox_Evolved" real
@attribute "Xbox_Solution" real
@attribute "Xbox_World_360_Magazine_UK" real
@attribute "Xbox_World_Australia" real
@attribute "Xbox360Achievements" real
@attribute "XboxAddict" real
@attribute "Xboxic" real
@attribute "Xequted" real
@attribute "Yahoo!_Games" real
@attribute "ZTGD" real
@attribute "eToychest" real
@attribute "games(TM)" real
@attribute "netjak" real
@attribute "mc_score" real

@data
"The Darkness II","X360",75,?,?,80,83,?,?,?,?,?,?,?,90,?,80,?,?,?,?,?,92,?,?,?,?,?,?,?,?,?,87,80,?,?,75,?,?,?,80,90,70,?,?,?,70,80,80,?,80,80,88,?,?,?,80,?,?,93,75,90,?,?,80,?,?,?,?,?,?,?,?,91,70,?,?,74,?,60,?,?,80,?,?,?,?,?,75,80,?,?,80,80,?,84,?,?,83,?,?,78,?,80,90,?,?,?,?,?,?,?,?,86,80,?,80,?,?,?,?,80,?,?,?,?,70,?,?,?,?,80,?,?,?,?,?,?,70,?,?,?,80,?,?,80,?,80,?,?,?,80,?,?,90,90,?,?,?,?,?,82,?,?,?,?,100,?,?,?,?,85,75,?,?,?,80,80,?,91,?,70,?,?,80,?,?,?,70,100,?,82,?,?,70,82,?,?,?,80,80,?,?,?,?,?,85,84,78,?,?,?,85,?,70,?,80
"Avatar: The Last Airbender -- The Burning Earth","X360",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,76,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,40,?,?,?,?,?,?,?,?,?,45,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,75,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,64,30,?,?,?,?,39,?,?,?,?,?,?,?,?,?,?,54
"Eragon","X360",40,50,?,?,?,?,?,80,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,45,?,?,?,55,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,?,?,?,?,58,63,?,?,?,25,?,?,?,30,?,?,?,?,?,42,40,?,52,57,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,53,?,?,?,?,?,?,?,50,?,?,?,?,?,40,?,53,?,?,?,?,?,?,?,?,?,47,?,?,?,?,?,?,?,?,55,?,?,55,?,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,?,?,?,?,40,40,?,?,?,?,?,62,?,?,?,?,?,?,?,?,?,?,?,?,40,?,49,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,30,?,?,?,?,73,60,?,?,?,?,?,45,?,70,?,?,?,?,?,?,?,48
"Major League Baseball 2K6","X360",60,?,?,?,?,?,?,?,?,?,?,?,81,?,?,?,?,?,?,?,72,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,65,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70,?,?,?,58,?,?,?,?,?,?,?,70,?,68,40,?,?,72,?,?,?,?,?,?,?,?,?,?,?,40,?,?,?,?,?,?,?,?,?,?,?,?,70,?,?,58,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,74,?,?,88,?,70,?,60,?,?,?,?,60,?,?,?,?,?,?,?,?,?,?,?,?,?,?,74,?,?,50,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,80,?,?,?,?,?,?,?,?,?,?,?,?,?,66
"Guitar Hero: Metallica","X360",?,?,?,77,?,?,?,70,?,?,?,80,89,?,80,?,?,70,?,?,90,?,?,?,?,?,87,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,80,?,?,?,?,?,85,90,?,?,?,?,?,84,88,?,?,?,75,?,?,?,90,87,?,?,90,67,75,?,?,83,90,?,?,?,90,80,80,78,?,?,80,?,?,?,?,?,?,?,?,?,83,?,?,?,?,90,?,?,100,?,?,75,?,94,89,?,?,?,?,?,88,?,?,89,?,?,?,91,?,?,?,?,?,?,?,?,?,85,80,?,?,?,?,90,?,?,?,85,60,87,?,90,?,85,?,?,85,80,?,?,98,?,?,85,?,80,?,?,?,?,?,?,?,78,?,?,?,84,87,?,?,?,?,?,?,?,80,?,?,?,80,?,?,85,?,?,80,?,?,?,90,95,90,90,?,?,?,83,91,?,?,?,?,?,91,?,?,?,84
"College Hoops 2K7","X360",75,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,75,?,91,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,80,?,?,90,80,?,?,?,?,?,?,?,?,?,?,?,90,83,79,70,?,83,86,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,80,?,?,83,?,?,?,78,?,?,?,?,?,?,?,?,?,?,82,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,90,?,90,?,?,?,?,75,?,?,?,?,?,?,?,?,?,?,?,?,?,?,84,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,81,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,76,82
"SCORE International Baja 1000","X360",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,37,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,33,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,25,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,?,?,29
"Rapala Tournament Fishing","X360",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,36,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,45,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,40,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,38,?,?,?,?,?,?,?,41
"Race Pro","X360",?,80,?,75,?,?,?,?,?,?,?,?,?,?,?,?,?,80,?,?,78,?,?,?,?,?,69,70,60,74,?,?,?,?,70,?,?,?,?,?,80,?,?,?,80,?,?,80,?,?,80,?,?,?,60,?,?,?,70,?,?,?,?,?,?,?,70,82,?,?,?,?,75,?,?,71,75,?,?,?,75,70,?,74,?,?,60,?,?,?,?,?,?,?,?,?,80,?,?,?,?,?,?,?,?,?,?,?,?,?,?,74,?,?,?,45,?,?,?,77,?,?,85,80,?,65,?,?,?,?,?,?,?,?,60,?,80,?,80,70,?,?,?,75,50,75,80,?,?,?,?,?,60,80,?,?,?,?,90,?,?,?,?,?,?,?,?,?,?,75,?,?,?,?,76,?,?,?,?,?,?,?,?,?,?,50,?,?,?,80,?,?,80,?,?,?,85,70,50,?,?,?,?,80,?,64,?,?,?,?,73,?,50,?,72
"MotoGP 08","X360",67,?,?,80,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,56,?,?,?,?,?,75,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,58,?,?,?,?,?,?,?,?,?,70,?,?,?,80,?,?,?,65,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70,88,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,80,?,?,?,?,?,?,?,?,?,?,?,?,75,80,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,65,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,67,59,60,?,?,?,?,78,?,?,67,?,?,?,?,?,?,?,68
"Cabela's Alaskan Adventures","X360",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,45,56,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,48,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,40,?,40,?,?,?,?,65,?,?,?,?,?,?,?,?,?,?,?,?,?,?,64,?,?,?,?,?,?,?,30,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,50,?,?,?,?,39,?,?,?,?,?,?,?,?,?,?,48
"Raven Squad: Operation Hidden Dagger","X360",?,?,?,32,?,?,?,?,?,?,?,?,?,?,?,?,?,20,?,?,48,?,?,?,?,?,28,?,?,?,?,?,?,?,30,?,68,?,?,?,?,?,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,?,?,?,?,30,?,?,?,37,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,57,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,?,?,?,?,?,30,?,?,?,?,?,40,?,?,?,?,?,?,?,?,?,?,?,?,60,30,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,25,50,?,?,?,?,59,?,57,?,?,?,?,56,?,30,?,38
"Harry Potter and the Half-Blood Prince","X360",?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,?,?,?,?,?,72,?,?,?,?,?,75,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,50,?,?,?,?,?,?,?,70,70,?,?,?,?,?,?,80,66,?,?,?,42,?,?,?,?,69,?,?,?,?,?,?,76,70,?,60,?,?,?,?,?,?,?,?,68,?,?,?,?,?,?,?,?,83,?,?,?,?,?,?,?,?,?,?,?,44,?,?,77,?,?,?,?,?,65,?,?,?,?,?,?,?,?,?,?,?,?,74,?,?,?,?,70,?,55,?,?,?,65,?,?,50,50,?,50,?,?,?,61,?,?,?,?,?,?,?,?,?,?,?,?,?,?,71,?,?,?,?,?,?,?,?,?,?,?,?,?,?,78,?,?,60,?,?,?,70,65,50,69,?,?,?,49,55,54,?,?,?,?,72,?,?,?,64
"Battle Fantasia","X360",67,80,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,76,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70,?,?,?,70,?,?,?,?,?,75,?,?,?,?,?,?,?,75,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,75,?,?,?,?,?,?,?,?,?,?,?,?,?,?,65,?,?,?,80,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,65,?,?,?,?,?,65,70,?,70,?,?,?,?,?,?,?,?,?,?,?,?,?,60,?,?,?,?,76,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70,?,?,60,?,?,?,?,68,70,?,?,?,?,75,?,?,?,?,?,?,?,?,70,?,71
"Rogue Warrior","X360",25,?,?,29,?,?,?,?,?,?,?,?,18,?,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,20,?,40,?,?,?,40,?,?,?,?,?,?,?,15,?,?,?,?,?,?,?,?,22,?,?,30,25,20,10,?,?,20,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,35,?,?,?,?,?,40,?,?,?,?,?,?,?,?,?,?,40,?,?,?,21,?,?,15,?,?,?,?,?,?,?,?,?,?,?,?,?,30,?,?,?,?,?,40,?,?,?,50,?,?,?,?,?,?,?,?,40,20,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,30,?,?,?,?,50,?,?,?,?,?,?,?,?,?,?,?,40,?,?,50,?,?,?,?,?,?,?,?,20,20,?,?,?,36,?,38,?,?,?,?,?,?,20,?,28
"MorphX","X360",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,40,?,?,?,?,?,30,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,9,?,?,?,?,?,?,?,?,?,?,33
"Assassin's Creed III","X360",?,?,?,?,80,?,?,?,85,?,?,?,?,97,75,?,?,?,?,85,?,?,?,?,?,?,85,?,90,?,?,?,?,?,75,?,88,?,100,95,80,?,?,?,90,80,90,90,90,?,?,?,?,?,100,85,?,?,95,?,?,?,?,?,?,60,?,?,?,70,?,?,85,?,?,92,?,90,?,?,75,?,?,?,85,?,?,?,?,?,?,80,?,?,?,?,88,?,70,79,?,?,100,?,?,?,?,?,?,?,?,?,80,?,80,100,?,60,?,85,?,?,?,?,80,?,?,?,?,70,?,?,?,?,80,?,?,?,?,?,85,?,?,?,90,90,?,?,?,85,?,?,85,80,?,?,?,?,88,90,?,?,80,?,100,?,?,?,?,90,90,?,?,?,?,80,?,?,?,100,?,?,70,?,?,?,?,?,?,?,?,?,70,?,?,?,?,65,90,?,?,?,?,?,90,92,?,?,?,?,?,?,70,?,84
"Splatterhouse","X360",58,?,?,64,?,?,?,?,?,?,?,60,80,?,?,?,?,?,?,?,78,?,?,?,?,?,65,?,?,73,?,?,?,?,?,?,?,?,?,?,50,?,?,?,?,?,70,80,?,?,?,74,?,?,?,?,?,72,?,70,?,?,?,?,?,65,?,60,?,?,?,58,45,?,?,64,?,?,?,?,50,?,?,?,?,?,?,?,?,40,?,40,?,?,?,?,?,?,?,?,?,60,?,?,58,?,?,75,?,?,?,71,60,?,?,?,?,?,?,40,?,?,?,?,?,?,?,?,?,50,?,?,?,?,50,?,?,?,?,75,?,?,?,75,?,72,?,?,?,60,?,?,70,60,?,70,?,?,?,82,?,69,?,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,?,60,?,?,60,?,?,?,?,?,?,79,?,60,60,?,?,?,?,75,50,65,?,?,?,73,?,60,50,?,?,?,60,?,?,?,62
"Onechanbara: Bikini Samurai Squad","X360",75,?,?,23,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,34,?,?,?,?,?,?,?,?,?,?,?,?,?,45,?,?,?,?,?,?,?,?,?,30,?,?,?,?,?,?,52,?,?,20,?,?,?,60,?,?,?,?,?,?,65,?,54,?,?,20,33,25,?,?,?,40,?,?,?,?,50,?,?,?,?,?,?,?,?,?,?,?,?,?,40,49,?,?,?,?,70,?,?,33,?,?,?,58,?,?,?,?,?,?,?,?,?,?,30,?,?,?,?,?,45,?,?,?,?,?,?,?,?,?,?,20,?,?,?,?,?,?,30,20,30,?,?,?,?,?,?,45,30,?,?,?,?,73,43,?,?,?,?,?,?,?,?,?,?,?,?,?,?,27,?,?,?,?,?,?,?,?,?,?,?,?,?,?,40,?,30,?,?,?,?,?,43,40,25,?,?,?,42,?,40,?,?,?,?,10,?,?,?,39
"Risen","X360",?,?,?,65,?,?,?,70,?,?,?,?,68,?,?,?,?,?,?,?,?,?,?,?,?,?,64,?,?,?,?,?,?,?,40,?,?,?,?,?,?,?,?,?,40,?,50,?,?,?,?,60,?,?,?,?,?,?,70,?,?,?,?,?,?,80,?,71,?,?,?,?,60,?,?,?,70,?,?,?,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,?,?,?,?,?,82,?,?,?,?,?,?,67,?,?,?,80,?,?,?,?,?,?,?,76,?,?,?,?,?,80,?,?,?,?,?,?,?,65,?,?,?,?,?,55,?,?,?,?,30,80,?,?,?,?,?,?,60,40,?,?,?,?,?,?,?,65,?,?,?,?,?,30,?,80,63,?,?,?,73,?,?,?,?,?,?,?,?,?,?,?,?,?,?,85,?,?,50,?,?,?,58,?,?,80,?,?,?,25,?,?,63,?,?,?,60,?,?,?,60
"Battlestar Galactica","X360",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,30,?,?,?,?,?,?,?,?,?,?,?,?,56,?,?,70,?,?,?,?,?,?,?,?,?,?,58,60,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,69,?,?,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,50,30,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,85,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,40,?,?,?,?,40,?,?,?,?,?,?,?,?,?,?,55
"Divinity II: Ego Draconis","X360",75,?,?,78,?,?,?,?,68,?,?,?,?,?,?,?,?,?,?,?,56,?,?,?,?,?,81,?,?,72,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,?,?,?,?,88,65,?,?,?,42,?,?,70,?,78,?,?,50,67,?,?,?,?,84,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,74,?,?,?,?,?,?,?,50,?,?,42,?,?,?,?,?,?,?,80,?,?,?,48,?,?,?,78,?,?,?,?,?,?,?,?,?,60,?,?,?,?,?,66,?,?,?,?,?,50,?,?,?,65,?,?,65,50,?,50,?,?,?,46,?,?,?,?,?,?,?,?,?,?,70,?,?,?,55,?,?,?,?,?,?,?,?,?,?,?,?,?,?,85,?,?,?,?,?,?,64,?,50,40,?,?,?,58,?,?,?,?,?,?,70,?,?,?,62
"Samurai Warriors 2","X360",?,40,?,?,?,?,?,?,?,?,?,50,?,?,?,?,?,70,?,?,?,?,?,?,?,?,?,?,?,?,70,40,?,?,?,?,?,?,?,?,?,?,45,?,70,?,?,?,?,?,?,?,?,?,?,?,?,?,60,?,?,?,16,?,?,?,50,?,?,?,?,?,54,?,?,?,53,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,50,50,70,67,?,?,?,?,?,?,?,?,?,?,?,?,?,73,55,?,?,?,?,?,?,?,?,39,?,?,?,?,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,?,?,?,?,65,30,?,?,?,?,?,?,80,60,?,?,?,?,?,?,?,?,?,?,?,?,55,?,?,50,?,?,?,?,?,60,?,60,?,?,?,?,?,?,30,?,?,?,?,?,30,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,52
